,1em5,1.5em5,2em5,2.5em5,3em5,3.5em5,4em5,4.5em5,5em5
1494,46,136,334,648,1172,1788,2611,3805,5346
1495,43,128,335,678,1079,1730,2671,3878,5283
1496,52,136,330,662,1150,1791,2664,3927,5267
1497,26,147,341,637,1070,1798,2559,3792,5275
1498,29,140,361,694,1128,1747,2747,3857,5326
1499,43,153,323,624,1117,1726,2734,3745,5106
1500,52,160,339,666,1145,1810,2694,3802,5243
1501,50,144,304,658,1121,1831,2633,3868,5240
1502,45,142,333,671,1182,1778,2741,3880,5293
1503,49,166,358,622,1091,1828,2700,3860,5323
1504,46,150,357,683,1106,1836,2716,3870,5316
1505,42,149,365,634,1136,1824,2665,3789,5314
1506,44,153,339,706,1092,1784,2751,3833,5281
1507,48,143,325,596,1135,1793,2595,3767,5343
1508,47,142,312,635,1175,1812,2682,3852,5235
1509,49,147,344,678,1217,1824,2705,3791,5141
1510,38,155,338,700,1187,1798,2653,3858,5222
1511,44,130,315,659,1182,1747,2644,3757,5400
1512,38,148,348,640,1159,1775,2762,3811,5250
1513,40,137,353,652,1096,1750,2767,3874,5231
1514,50,152,344,646,1115,1817,2737,3763,5190
1515,49,160,337,665,1102,1775,2662,3808,5293
1516,42,153,329,660,1157,1833,2703,3885,5184
1517,26,119,360,693,1074,1781,2633,3821,5437
1518,52,130,346,656,1125,1776,2722,3911,5291
1519,45,135,320,630,1176,1798,2748,3828,5155
1520,38,142,316,628,1180,1783,2574,3872,5171
1521,42,140,362,632,1141,1819,2705,3853,5266
1522,45,123,331,618,1119,1870,2786,3794,5189
1523,56,116,344,671,1145,1756,2702,3886,5226
1524,56,152,350,676,1182,1702,2633,3782,5244
1525,42,120,349,633,1107,1837,2700,3811,5127
1526,46,131,326,670,1150,1795,2631,3776,5120
1527,45,130,361,623,1092,1814,2768,3796,5201
1528,56,125,350,669,1076,1741,2699,3813,5124
1529,41,143,356,674,1156,1813,2705,3783,5217
1530,41,139,359,669,1145,1857,2716,3728,5253
1531,36,131,323,641,1088,1748,2689,3869,5187
1532,41,120,364,694,1139,1854,2618,3856,5368
1533,31,145,332,666,1140,1808,2775,3793,5195
1534,40,155,307,639,1068,1852,2679,3906,5212
1535,34,148,352,667,1134,1779,2654,3864,5188
1536,36,146,324,657,1164,1786,2593,3843,5273
1537,49,150,318,632,1088,1753,2722,3812,5327
1538,45,143,323,640,1185,1801,2753,3728,5162
1539,42,167,290,665,1163,1753,2552,3790,5254
1540,36,140,350,660,1077,1837,2692,3808,5169
1541,38,160,315,661,1139,1788,2793,3842,5209
1542,45,139,329,623,1142,1785,2698,3831,5258
1543,47,123,330,665,1093,1716,2597,3813,5123
1544,40,145,329,672,1165,1824,2642,3960,5189
1545,41,142,349,625,1107,1802,2707,3751,5263
1546,52,121,350,653,1121,1725,2679,3944,5185
1547,39,127,366,678,1129,1809,2686,3812,5388
1548,49,139,365,669,1090,1764,2707,3795,5222
1549,46,147,339,639,1095,1803,2621,3802,5241
1550,38,124,326,710,1104,1815,2703,3782,5178
1551,48,136,349,706,1111,1811,2691,3746,5192
1552,47,158,312,681,1151,1771,2727,3889,5362
1553,47,149,317,675,1104,1830,2758,3733,5249
1554,63,167,351,676,1119,1838,2653,3846,5306
1555,52,135,345,666,1137,1783,2710,3744,5163
1556,46,131,343,679,1199,1813,2574,3825,5148
1557,43,153,322,644,1111,1776,2684,3869,5325
1558,42,159,355,629,1160,1816,2610,3908,5328
1559,44,136,330,627,1141,1824,2617,3886,5252
1560,41,152,333,655,1068,1851,2630,3768,5418
1561,43,136,307,655,1107,1767,2705,3864,5354
1562,43,184,354,688,1128,1799,2670,3852,5247
1563,34,143,294,660,1088,1871,2644,3786,5235
1564,32,131,346,658,1154,1788,2625,3879,5190
1565,43,151,306,658,1223,1815,2745,3954,5222
1566,46,141,347,649,1087,1813,2732,3857,5321
1567,47,136,337,677,1125,1806,2668,3739,5219
1568,38,127,372,671,1094,1707,2712,3986,5136
1569,45,148,336,642,1138,1885,2683,3651,5216
1570,35,149,340,667,1172,1788,2704,3866,5283
1571,38,152,322,704,1107,1807,2704,3885,5097
1572,50,152,334,665,1121,1751,2761,3742,5243
1573,53,138,328,656,1102,1806,2685,3955,5178
1574,48,136,322,656,1094,1849,2716,3803,5227
1575,39,134,351,686,1104,1789,2762,3864,5131
1576,52,123,334,652,1131,1873,2727,3845,5099
1577,41,136,327,650,1109,1790,2695,3783,5333
1578,38,134,340,684,1068,1738,2755,3807,5393
1579,45,143,310,664,1114,1720,2768,3782,5353
1580,32,134,378,646,1173,1805,2692,3834,5232
1581,43,134,339,659,1135,1803,2639,3760,5183
1582,50,135,343,687,1112,1770,2682,3879,5240
1583,40,120,348,623,1133,1730,2774,3787,5182
1584,54,144,335,672,1108,1785,2714,3837,5263
1585,44,145,342,648,1128,1739,2725,3788,5278
1586,39,154,324,692,1117,1726,2716,3786,5217
1587,33,145,320,637,1147,1781,2697,3712,5281
1588,40,127,331,650,1124,1796,2632,3880,5134
1589,28,145,355,545,1165,1736,2705,3674,5298
1590,41,147,313,644,1156,1772,2734,3784,5290
1591,51,122,323,700,1104,1895,2710,3840,5131
1592,33,128,329,603,1143,1803,2724,3926,5269
1593,38,133,361,666,1170,1858,2734,3804,5375
1594,32,142,358,657,1124,1810,2701,3872,5210
1595,47,134,343,660,1074,1762,2743,3714,5182
1596,54,136,336,666,1123,1750,2779,3848,5213
1597,27,131,340,696,1148,1816,2654,3808,5380
1598,45,140,329,651,1170,1829,2670,3687,5194
1599,48,148,323,629,1106,1821,2724,3861,5171
1600,38,139,325,639,1132,1847,2653,3748,5303
1601,43,150,340,601,1169,1755,2720,3859,5174
1602,38,144,324,620,1139,1816,2766,3734,5191
1603,55,152,335,643,1163,1749,2767,3881,5328
1604,44,133,309,656,1101,1767,2665,3915,5249
1605,43,130,332,677,1171,1738,2695,3891,5237
1606,41,127,358,699,1096,1798,2638,3914,5219
1607,43,144,343,665,1103,1809,2798,3853,5215
1608,33,154,310,669,1105,1775,2644,3843,5179
1609,49,149,312,641,1159,1770,2664,3829,5319
1610,33,144,385,632,1093,1737,2714,3823,5250
1611,42,124,325,640,1106,1763,2700,3839,5124
1612,41,169,368,687,1114,1807,2741,3799,5286
1613,54,156,336,658,1073,1791,2669,3829,5196
1614,30,159,318,601,1143,1798,2629,3674,5213
1615,40,134,324,700,1074,1746,2652,3788,5182
1616,45,133,320,673,1044,1884,2806,3838,5210
1617,42,130,315,651,1138,1865,2716,3834,5394
1618,46,145,362,626,1128,1786,2732,3901,5209
1619,38,132,345,653,1105,1789,2768,3893,5317
1620,23,133,341,652,1192,1810,2627,3773,5339
1621,42,163,332,701,1112,1820,2698,3960,5172
1622,37,133,341,662,1140,1763,2723,3868,5319
1623,44,140,317,663,1110,1798,2695,3742,5269
1624,33,127,338,668,1175,1762,2789,3831,5275
1625,44,147,349,647,1124,1806,2806,3785,5288
1626,35,136,324,685,1150,1845,2734,3872,5097
1627,38,126,333,664,1108,1839,2628,3831,5327
1628,43,150,325,646,1171,1783,2695,3775,5255
1629,47,136,320,690,1126,1825,2573,3753,5239
1630,49,148,335,665,1187,1827,2651,3833,5172
1631,42,130,351,673,1135,1776,2665,3933,5201
1632,30,152,311,633,1095,1793,2736,3823,5225
1633,47,144,346,633,1119,1730,2654,3762,5098
1634,38,133,322,601,1184,1782,2642,3880,5260
1635,37,133,310,689,1165,1856,2713,3938,5200
1636,43,127,331,658,1104,1810,2715,3726,5288
1637,47,137,371,678,1118,1750,2649,3837,5202
1638,35,143,343,620,1121,1760,2670,3802,5292
1639,37,139,327,642,1117,1800,2717,3683,5268
1640,49,135,346,647,1146,1803,2651,3898,5109
1641,36,143,358,666,1087,1812,2760,3915,5110
1642,49,162,335,651,1170,1784,2624,3801,5173
1643,54,134,328,650,1180,1773,2717,3844,5154
1644,43,139,324,646,1161,1810,2780,3919,5224
1645,39,143,334,677,1095,1757,2715,3844,5268
1646,33,145,356,642,1121,1787,2692,3808,5216
1647,33,142,349,616,1081,1842,2595,3757,5214
1648,43,160,347,637,1075,1790,2692,3832,5253
1649,50,125,341,662,1154,1785,2698,3804,5177
1650,48,132,358,672,1104,1794,2721,3901,5198
1651,29,157,333,651,1094,1783,2673,3886,5322
1652,41,147,300,678,1160,1782,2746,3802,5180
1653,40,157,315,677,1114,1823,2646,3770,5062
1654,33,157,304,663,1089,1883,2653,3760,5116
1655,43,134,336,644,1135,1798,2694,3846,5268
1656,37,144,336,677,1163,1777,2731,3745,5197
1657,45,154,362,622,1097,1775,2635,3831,5259
1658,48,125,354,626,1151,1751,2753,3745,5322
1659,34,134,326,616,1088,1795,2691,3785,5205
1660,44,142,348,653,1171,1799,2594,3668,5423
1661,37,137,309,671,1202,1790,2630,3806,5332
1662,39,133,357,645,1172,1811,2776,3855,5232
1663,36,138,350,659,1128,1724,2724,3786,5230
1664,46,135,361,643,1177,1815,2715,3702,5069
1665,33,130,350,648,1074,1783,2723,3842,5301
1666,42,159,307,669,1093,1788,2649,3755,5282
1667,57,150,325,703,1173,1830,2623,3896,5316
1668,36,125,346,653,1141,1782,2743,3835,5210
1669,38,137,356,639,1139,1765,2657,3725,5316
1670,43,123,362,658,1164,1806,2763,3881,5155
1671,38,138,331,668,1135,1767,2651,3904,5090
1672,42,137,368,663,1172,1797,2621,3767,5283
1673,39,153,319,664,1165,1893,2570,3886,5115
1674,55,150,331,679,1117,1731,2718,3929,5257
1675,35,154,389,654,1082,1787,2689,3781,5211
1676,34,169,332,648,1142,1870,2748,3830,5182
1677,45,146,345,671,1045,1791,2716,3880,5275
1678,49,134,340,703,1091,1742,2662,3779,5339
1679,35,153,340,686,1119,1708,2658,3798,5260
1680,38,146,338,687,1128,1809,2721,3736,5286
1681,35,160,337,603,1150,1781,2619,3862,5366
1682,55,129,349,635,1119,1773,2537,3840,5209
1683,44,140,309,681,1180,1748,2620,3767,5122
1684,44,142,334,702,1126,1788,2606,3738,5304
1685,31,140,312,645,1131,1862,2698,3862,5168
1686,39,131,322,670,1099,1772,2640,3706,5216
1687,49,141,333,659,1117,1803,2713,3729,5248
1688,44,153,341,708,1118,1848,2659,3760,5237
1689,39,134,338,649,1184,1772,2735,3775,5147
1690,47,125,348,657,1161,1901,2664,3831,5065
1691,47,141,360,645,1157,1841,2694,3847,5125
1692,50,156,332,605,1185,1729,2660,3902,5052
1693,53,138,342,669,1130,1758,2685,3796,5240
1694,33,150,350,657,1081,1743,2661,3884,5262
1695,42,149,348,636,1166,1813,2643,3734,5162
1696,44,128,368,617,1129,1882,2713,4007,5187
1697,54,137,353,687,1158,1731,2706,3956,5093
1698,37,147,310,676,1101,1842,2607,3734,5264
1699,55,147,327,626,1202,1721,2617,3778,5239
1700,37,136,340,639,1069,1786,2636,3698,5224
1701,35,164,351,601,1138,1787,2766,3728,5191
1702,43,157,321,626,1077,1753,2698,3849,5256
1703,46,149,322,684,1167,1723,2709,3821,5256
1704,44,161,335,675,1148,1816,2761,3814,5258
1705,36,154,336,697,1134,1743,2788,3819,5098
1706,48,130,366,657,1126,1838,2663,3749,5341
1707,43,129,381,654,1178,1911,2745,3840,5076
1708,35,141,315,627,1141,1736,2687,3832,5154
1709,46,143,335,684,1158,1807,2677,3805,5256
1710,37,126,337,663,1153,1772,2735,3846,5234
1711,38,150,331,610,1125,1872,2710,3837,5135
1712,43,146,338,667,1139,1800,2632,3827,5186
1713,42,138,330,661,1126,1867,2674,3731,5270
1714,40,137,307,671,1114,1829,2732,3831,5279
1715,47,134,356,638,1152,1840,2674,3749,5125
1716,43,142,313,635,1134,1783,2721,3814,5243
1717,52,147,306,658,1173,1778,2553,3818,5058
1718,37,139,355,628,1144,1782,2800,3849,5282
1719,52,137,356,646,1141,1844,2696,3917,5286
1720,32,140,297,644,1099,1782,2703,3815,5209
1721,25,137,339,655,1113,1771,2726,3856,5135
1722,36,140,349,681,1108,1828,2797,3873,5246
1723,32,142,348,692,1070,1778,2685,3815,5256
1724,42,140,328,673,1183,1751,2673,3843,5236
1725,60,156,342,634,1106,1812,2756,3834,5197
1726,44,148,328,671,1120,1761,2621,3772,5140
1727,44,144,331,626,1145,1732,2715,3761,5330
1728,47,136,334,663,1122,1861,2702,3803,5204
1729,61,126,317,639,1088,1809,2682,3710,5274
1730,39,152,326,649,1239,1767,2655,3833,5314
1731,40,139,346,631,1149,1733,2708,3807,5320
1732,36,146,327,688,1155,1772,2733,3824,5252
1733,40,154,331,630,1129,1797,2641,3877,5264
1734,36,151,350,683,1127,1817,2682,3769,5213
1735,45,144,332,630,1160,1837,2597,3863,5114
1736,41,142,337,601,1154,1887,2644,3820,5103
1737,32,139,358,642,1164,1833,2623,3836,5213
1738,54,147,330,657,1129,1810,2630,3772,5099
1739,35,140,329,648,1166,1924,2769,3750,5301
1740,36,137,300,630,1146,1747,2777,3875,5220
1741,48,125,362,683,1158,1782,2702,3864,5237
1742,40,146,351,682,1118,1778,2744,3786,5335
1743,42,142,316,660,1134,1850,2670,3900,5185
1744,39,154,350,669,1107,1776,2777,3788,5219
1745,36,128,357,665,1129,1840,2705,3980,5261
1746,43,137,321,647,1104,1824,2676,3873,5255
1747,41,141,350,639,1105,1785,2651,3776,5408
1748,41,157,342,708,1081,1836,2633,3766,5265
1749,36,153,313,647,1149,1816,2693,3725,5264
1750,39,164,309,648,1112,1811,2648,3880,5164
1751,40,127,342,611,1139,1784,2724,3948,5278
1752,44,132,358,708,1065,1747,2677,3865,5288
1753,52,118,326,680,1141,1834,2711,3734,5361
1754,38,120,341,654,1062,1841,2718,3846,5253
1755,51,150,311,638,1104,1767,2665,3812,5220
1756,52,145,328,664,1102,1837,2700,3758,5164
1757,45,142,304,672,1088,1839,2700,3786,5307
1758,36,157,308,643,1158,1769,2604,3847,5284
1759,29,139,339,629,1172,1724,2770,3790,5275
1760,43,121,312,664,1061,1720,2697,3874,5247
1761,27,135,330,679,1094,1725,2699,3827,5201
1762,44,132,372,630,1090,1863,2659,3852,5329
1763,43,126,356,634,1066,1737,2747,3786,5331
1764,43,145,347,662,1158,1830,2640,3699,5197
1765,39,141,355,635,1190,1788,2603,3784,5248
1766,48,144,335,701,1156,1760,2765,3833,5160
1767,24,149,321,662,1155,1819,2640,3804,5241
1768,40,138,333,662,1117,1814,2657,3708,5186
1769,43,135,345,657,1127,1853,2624,3895,5256
1770,46,149,333,630,1193,1827,2582,3923,5275
1771,47,139,330,646,1143,1787,2691,3855,5249
1772,36,149,317,707,1133,1741,2682,3857,5303
1773,45,149,337,691,1122,1824,2705,3636,5329
1774,53,143,324,649,1113,1719,2709,3799,5371
1775,47,144,321,684,1107,1739,2679,3735,5100
1776,40,145,352,687,1227,1766,2595,3769,5172
1777,36,148,365,705,1172,1753,2712,3783,5270
1778,51,141,338,667,1177,1743,2683,3691,5235
1779,46,145,346,647,1129,1776,2684,3963,5219
1780,39,128,321,607,1127,1857,2693,3772,5266
1781,50,125,325,635,1139,1826,2767,3771,5234
1782,48,121,352,646,1158,1794,2762,3841,5124
1783,37,132,349,631,1127,1835,2665,3806,5159
1784,37,130,306,640,1127,1809,2674,3888,5209
1785,35,135,329,660,1186,1833,2639,3811,5208
1786,51,130,309,624,1127,1796,2635,3857,5213
1787,39,148,352,655,1114,1794,2755,3773,5244
1788,41,146,346,643,1122,1780,2621,3859,5223
1789,55,144,322,650,1156,1812,2651,3846,5204
1790,45,125,327,631,1132,1808,2706,3772,5266
1791,53,128,372,680,1126,1771,2564,3855,5228
1792,33,159,301,637,1121,1786,2689,3732,5291
1793,44,125,313,646,1176,1827,2659,3750,5282
1794,36,154,342,666,1156,1771,2638,3833,5220
1795,46,160,341,667,1183,1819,2629,3828,5171
1796,43,143,323,636,1114,1858,2685,3721,5230
1797,46,126,341,653,1150,1806,2593,3855,5139
1798,32,137,331,648,1106,1819,2730,3770,5271
1799,37,124,366,690,1157,1867,2675,3882,5256
1800,45,129,343,651,1118,1767,2630,3867,5247
1801,44,138,345,705,1140,1774,2611,3743,5203
1802,48,147,351,724,1142,1784,2616,3854,5207
1803,47,148,344,661,1098,1862,2729,3845,5344
1804,42,132,310,637,1095,1716,2724,3753,5223
1805,41,127,347,661,1112,1876,2640,3736,5260
1806,37,141,352,639,1064,1799,2647,3863,5133
1807,36,131,338,621,1095,1835,2629,3863,5241
1808,37,150,333,691,1145,1743,2806,3741,5221
1809,41,136,364,681,1120,1786,2628,3851,5329
1810,48,123,333,640,1156,1785,2677,3730,5215
1811,49,150,318,655,1160,1809,2646,3688,5318
1812,46,143,343,661,1061,1880,2669,3762,5297
1813,38,151,332,665,1109,1811,2673,3786,5320
1814,39,136,331,649,1122,1805,2665,3839,5220
1815,47,126,377,677,1147,1813,2663,3839,5237
1816,33,144,331,651,1146,1833,2657,3832,5278
1817,51,151,309,648,1163,1768,2583,3727,5231
1818,41,147,299,630,1149,1865,2564,3883,5277
1819,39,145,311,656,1097,1828,2677,3865,5273
1820,43,141,381,652,1128,1826,2690,3873,5255
1821,39,147,332,623,1079,1899,2574,3814,5252
1822,47,135,309,698,1118,1785,2678,3855,5195
1823,52,155,360,687,1073,1769,2672,3819,5186
1824,43,153,334,647,1147,1737,2703,3762,5344
1825,56,148,337,660,1152,1849,2690,3832,5190
1826,38,149,320,652,1117,1847,2631,3712,5223
1827,41,148,324,652,1116,1811,2663,3913,5236
1828,51,141,322,690,1125,1810,2703,3843,5281
1829,32,138,357,669,1156,1818,2639,3826,5179
1830,26,151,335,663,1146,1790,2703,3912,5184
1831,41,130,310,638,1181,1807,2712,3830,5137
1832,46,136,360,679,1123,1831,2695,3939,5271
1833,51,131,331,663,1099,1799,2573,3817,5242
1834,37,142,323,621,1112,1856,2692,3761,5073
1835,49,150,324,664,1126,1827,2695,3836,5165
1836,45,131,336,656,1121,1840,2711,3714,5188
1837,44,140,312,679,1109,1823,2663,3891,5261
1838,37,144,344,675,1170,1742,2681,3807,5190
1839,27,136,332,650,1069,1809,2650,3713,5320
1840,45,157,335,657,1115,1765,2669,3762,5234
1841,43,142,345,646,1155,1836,2658,3804,5113
1842,45,150,336,636,1135,1768,2725,3841,5198
1843,45,142,301,669,1125,1743,2789,3821,5298
1844,50,141,372,664,1134,1833,2652,3876,5166
1845,35,140,309,643,1177,1763,2595,3878,5201
1846,48,148,344,680,1155,1800,2612,3796,5318
1847,48,147,336,648,1115,1820,2635,3847,5239
1848,47,129,328,660,1144,1817,2661,3892,5263
1849,36,139,342,648,1096,1735,2712,3898,5306
1850,49,140,348,695,1130,1777,2637,3789,5173
1851,36,151,387,678,1069,1840,2657,3943,5303
1852,48,147,374,634,1098,1777,2753,3788,5228
1853,50,158,374,650,1088,1782,2619,3758,5273
1854,46,142,322,667,1184,1746,2646,3792,5124
1855,41,151,345,672,1144,1830,2654,3791,5353
1856,52,117,337,663,1106,1761,2643,3732,5286
1857,34,128,320,651,1094,1765,2706,3762,5310
1858,40,145,354,641,1148,1797,2571,3780,5151
1859,44,131,314,672,1157,1809,2677,3852,5281
1860,46,138,331,673,1144,1758,2521,3882,5354
1861,39,142,329,619,1104,1795,2687,3822,5304
1862,33,146,338,663,1178,1816,2640,3708,5302
1863,51,146,324,654,1146,1753,2657,3764,5098
1864,45,155,325,643,1113,1822,2720,3869,5316
1865,40,129,328,623,1121,1755,2633,3805,5294
1866,50,153,335,628,1153,1773,2642,3818,5336
1867,46,149,318,643,1080,1732,2741,3855,5283
1868,50,128,346,620,1110,1808,2779,3816,5331
1869,39,116,303,676,1135,1881,2654,3901,5111
1870,38,159,341,657,1088,1808,2724,3820,5230
1871,30,141,335,655,1091,1758,2635,3757,5288
1872,46,141,330,611,1163,1722,2676,3821,5334
1873,35,137,322,673,1136,1746,2632,3826,5283
1874,49,135,304,649,1087,1857,2719,3897,5332
1875,36,131,362,641,1110,1762,2733,3676,5251
1876,42,136,338,664,1185,1738,2742,3889,5300
1877,40,133,311,686,1092,1906,2632,3888,5202
1878,45,144,351,645,1153,1750,2684,3910,5257
1879,46,144,355,699,1115,1808,2656,3802,5284
1880,41,153,381,667,1065,1793,2713,3907,5251
1881,32,141,303,663,1132,1743,2716,3790,5427
1882,35,127,321,677,1119,1762,2693,3770,5323
1883,35,112,337,663,1146,1797,2685,3927,5223
1884,40,138,315,632,1128,1789,2747,3766,5241
1885,42,131,304,612,1072,1852,2655,3840,5308
1886,30,135,321,665,1055,1744,2696,3750,5097
1887,41,159,349,662,1113,1787,2653,3834,5117
1888,40,127,324,646,1146,1761,2768,3760,5348
1889,30,151,335,678,1133,1783,2727,3748,5215
1890,43,165,349,635,1158,1815,2653,3829,5248
1891,29,137,303,625,1129,1812,2721,3907,5220
1892,39,148,323,657,1086,1759,2555,3811,5236
1893,53,141,337,609,1191,1867,2678,3876,5284
1894,38,143,352,657,1170,1773,2679,3881,5230
1895,51,122,359,680,1131,1781,2675,3864,5179
1896,41,130,342,665,1140,1857,2657,3827,5193
1897,41,152,351,668,1115,1754,2690,3819,5203
1898,41,140,333,684,1149,1791,2651,3839,5280
1899,33,141,355,667,1097,1851,2660,3900,5167
1900,42,167,347,683,1159,1860,2643,3861,5183
1901,31,163,338,674,1164,1871,2721,3791,5216
1902,41,123,286,660,1130,1757,2736,3780,5313
1903,37,128,325,686,1120,1831,2723,3801,5311
1904,39,144,354,680,1146,1725,2664,3801,5177
1905,41,142,322,599,1146,1835,2710,3803,5185
1906,32,136,329,650,1120,1865,2669,3868,5125
1907,36,124,315,676,1155,1814,2693,3842,5132
1908,54,146,302,711,1164,1824,2570,3787,5321
1909,48,139,358,642,1151,1789,2731,3842,5255
1910,40,145,289,644,1075,1771,2696,3740,5359
1911,43,151,344,660,1092,1859,2617,3882,5086
1912,49,153,340,658,1158,1803,2587,3747,5250
1913,48,152,343,694,1133,1767,2711,3856,5301
1914,44,138,306,682,1103,1798,2629,3808,5265
1915,37,146,344,671,1154,1889,2682,3823,5232
1916,57,136,335,620,1106,1771,2684,3949,5170
1917,45,137,334,635,1126,1833,2754,3787,5234
1918,38,149,328,675,1089,1827,2749,3910,5193
1919,48,150,338,662,1132,1834,2611,3920,5172
1920,41,148,319,672,1120,1860,2575,3829,5247
1921,50,152,323,646,1148,1828,2695,3810,5157
1922,53,136,319,632,1140,1827,2729,3862,5169
1923,45,154,370,588,1092,1737,2612,3813,5079
1924,38,140,310,649,1078,1759,2755,3758,5249
1925,47,149,325,655,1120,1741,2704,3764,5203
1926,45,123,338,630,1083,1839,2680,3773,5158
1927,51,140,359,670,1112,1799,2663,3888,5224
1928,36,137,330,619,1153,1754,2675,3752,5227
1929,37,136,304,616,1099,1846,2650,3833,5208
1930,44,123,350,645,1115,1856,2642,3757,5292
1931,48,163,316,632,1146,1707,2673,3830,5170
1932,51,125,351,646,1148,1842,2715,3849,5221
1933,38,144,353,604,1112,1758,2702,3837,5151
1934,48,143,305,626,1103,1835,2745,3814,5300
1935,43,142,343,662,1142,1748,2719,3876,5200
1936,34,145,325,634,1111,1808,2737,3815,5255
1937,44,158,364,652,1125,1757,2604,3806,5173
1938,41,132,321,672,1106,1812,2760,3785,5268
1939,41,149,312,693,1097,1731,2622,3956,5264
1940,32,130,319,609,1142,1756,2747,3927,5320
1941,41,146,326,689,1130,1855,2738,3841,5265
1942,39,152,363,681,1100,1870,2694,3798,5245
1943,42,129,334,622,1138,1806,2687,3802,5314
1944,32,132,331,649,1128,1796,2716,3848,5312
1945,44,138,311,609,1076,1855,2654,3832,5286
1946,52,145,313,618,1147,1740,2672,3659,5138
1947,49,143,321,697,1123,1761,2782,3793,5237
1948,47,154,339,645,1116,1832,2733,3849,5077
1949,46,139,351,658,1128,1886,2600,3777,5185
1950,40,144,338,673,1139,1800,2745,3843,5226
1951,39,135,319,608,1096,1868,2617,3807,5356
1952,53,127,346,649,1117,1737,2733,3857,5324
1953,38,152,323,663,1085,1772,2666,3852,5285
1954,44,135,331,649,1107,1810,2645,3823,5310
1955,39,141,336,602,1133,1814,2657,3876,5295
1956,36,136,326,641,1106,1741,2677,3822,5239
1957,52,129,346,628,1083,1740,2675,3845,5305
1958,45,132,335,630,1147,1838,2764,3818,5240
1959,38,133,300,634,1147,1821,2640,3797,5264
1960,40,139,314,659,1127,1811,2697,3884,5248
1961,28,127,347,601,1110,1802,2719,3843,5237
1962,46,141,331,634,1158,1856,2705,3850,5132
1963,57,137,323,604,1173,1727,2749,3857,5356
1964,37,154,341,742,1174,1833,2711,3743,5190
1965,42,171,330,670,1178,1863,2728,3892,5221
1966,49,152,309,661,1130,1759,2637,3866,5235
1967,42,130,313,653,1099,1778,2663,3837,5297
1968,34,138,304,671,1193,1754,2791,3724,5347
1969,48,143,335,671,1102,1798,2578,3787,5223
1970,47,150,361,654,1109,1799,2651,3782,5187
1971,34,127,314,622,1109,1764,2659,3782,5333
1972,49,151,304,692,1066,1719,2792,3865,5234
1973,44,157,359,659,1111,1764,2672,3805,5209
1974,47,147,337,636,1184,1774,2653,3924,5288
1975,22,133,335,656,1141,1773,2701,3805,5295
1976,45,136,339,665,1114,1773,2706,3801,5306
1977,41,142,323,631,1173,1682,2640,3741,5244
1978,32,142,322,652,1123,1768,2751,3714,5213
1979,39,138,355,664,1095,1799,2629,3878,5263
1980,44,142,296,610,1130,1788,2725,3764,5293
1981,49,137,314,686,1070,1795,2653,3823,5303
1982,37,133,336,655,1141,1693,2645,3875,5255
1983,44,125,344,633,1163,1819,2649,3760,5165
1984,41,136,357,682,1182,1756,2709,3892,5245
1985,37,148,351,677,1106,1760,2708,3667,5348
1986,33,142,343,627,1117,1749,2718,3841,5217
1987,40,140,343,657,1181,1850,2646,3906,5213
1988,43,141,360,646,1112,1846,2696,3813,5123
1989,39,144,333,691,1130,1819,2695,3826,5256
1990,40,164,343,640,1120,1829,2611,3873,5237
1991,48,157,335,660,1188,1812,2685,3716,5220
1992,37,149,322,698,1122,1768,2658,3757,5256
1993,43,135,335,679,1147,1801,2705,3720,5287
1994,48,121,345,632,1140,1764,2673,3734,5226
1995,51,151,355,648,1160,1768,2658,3779,5183
1996,48,151,325,693,1163,1786,2649,4049,5168
1997,37,170,309,644,1179,1784,2629,3920,5089
1998,48,138,356,676,1129,1730,2663,3823,5147
1999,42,157,313,616,1094,1780,2754,3770,5184
2000,38,146,304,652,1117,1721,2684,3790,5340
2001,51,142,338,662,1114,1801,2765,3717,5266
2002,39,139,317,700,1191,1678,2728,3742,5260
2003,48,134,318,640,1089,1768,2651,3816,5369
2004,36,146,319,636,1145,1775,2601,3752,5208
2005,51,136,342,648,1169,1843,2639,3863,5199
2006,45,170,362,677,1073,1784,2730,3847,5195
2007,41,148,370,649,1079,1910,2628,3714,5299
2008,49,147,324,637,1089,1748,2658,3825,5123
2009,38,140,305,699,1097,1747,2692,3780,5198
2010,43,141,352,650,1084,1717,2707,3904,5233
2011,41,132,342,655,1105,1768,2670,3759,5074
2012,39,120,357,700,1153,1800,2693,3752,5323
2013,53,125,342,692,1110,1807,2690,3746,5157
2014,42,128,320,655,1119,1780,2747,3852,5240
2015,49,163,367,611,1191,1723,2593,3711,5312
2016,43,162,342,636,1142,1779,2640,3790,5225
2017,39,131,338,627,1132,1831,2710,3847,5101
2018,47,138,334,653,1143,1820,2644,3718,5297
2019,40,127,384,681,1116,1868,2694,3841,5276
2020,40,154,344,657,1110,1769,2598,3815,5278
2021,43,144,325,654,1124,1791,2652,3740,5334
2022,36,150,336,693,1130,1801,2667,3884,5220
2023,49,149,367,653,1161,1812,2731,3761,5296
2024,37,145,312,704,1139,1793,2697,3865,5112
2025,55,136,346,673,1169,1709,2764,3817,5316
2026,46,139,364,628,1057,1873,2645,3936,5312
2027,38,146,330,627,1188,1802,2621,3705,5234
2028,47,122,355,628,1164,1772,2738,3878,5208
2029,37,122,345,630,1160,1813,2797,3782,5283
