Bias,Resistance,X_Left,X_Right
-0.4820578658187382,0.01771342503474705,2.9667529567184733e-05,1.2974852087349989e-05
-0.4772130631471931,0.01856955442977532,2.9585823929565947e-05,1.3046593622820145e-05
-0.472368260475648,0.019471470230244207,2.9504099191138177e-05,1.3118351929732332e-05
-0.46752345780410287,0.020421775928103247,2.9422355338499236e-05,1.3190127019854328e-05
-0.4626786551325578,0.021423228352082324,2.934059235823125e-05,1.3261918904967683e-05
-0.45783385246101266,0.022478746756079918,2.9258810236900637e-05,1.3333727596867734e-05
-0.4529890497894676,0.023591422425664515,2.9177008961058087e-05,1.3405553107363629e-05
-0.44814424711792245,0.024764528828210362,2.909518851723852e-05,1.3477395448278373e-05
-0.44329944444637737,0.02600153233281885,2.901334889196111e-05,1.3549254631448781e-05
-0.43845464177483223,0.02730610352672685,2.8931490071729188e-05,1.3621130668725593e-05
-0.43360983910328715,0.028682129155318682,2.8849612043030248e-05,1.369302357197344e-05
-0.428765036431742,0.030133724713157714,2.876771479233594e-05,1.376493335307088e-05
-0.42392023376019694,0.03166524771356826,2.868579830610202e-05,1.383686002391042e-05
-0.4190754310886518,0.0332813116642097,2.860386257076833e-05,1.3908803596398542e-05
-0.4142306284171067,0.03498680077575719,2.8521907572758764e-05,1.398076408245572e-05
-0.4093858257455616,0.0367868854301772,2.8439933298481267e-05,1.405274149401645e-05
-0.4045410230740165,0.03868703843412025,2.835793973432778e-05,1.4124735843029266e-05
-0.3996962204024714,0.04069305208158088,2.8275926866674214e-05,1.4196747141456789e-05
-0.3948514177309263,0.04281105604812338,2.819389468188048e-05,1.4268775401275675e-05
-0.39000661505938117,0.045047536136585714,2.8111843166290377e-05,1.4340820634476742e-05
-0.3851618123878361,0.04740935389110889,2.8029772306231613e-05,1.4412882853064926e-05
-0.38031700971629095,0.04990376709257368,2.7947682088015774e-05,1.4484962069059322e-05
-0.3754722070447459,0.05253845114385731,2.7865572497938296e-05,1.4557058294493205e-05
-0.37062740437320074,0.0553215213476931,2.7783443522278438e-05,1.4629171541414056e-05
-0.36578260170165566,0.05826155607311541,2.770129514729925e-05,1.4701301821883582e-05
-0.36093779903011053,0.06136762079838296,2.7619127359247566e-05,1.4773449147977749e-05
-0.3560929963585654,0.06464929300866164,2.753694014435392e-05,1.4845613531786803e-05
-0.3512481936870203,0.0681166879154297,2.7454733488832628e-05,1.4917794985415252e-05
-0.34640339101547524,0.07178048495128904,2.7372507378881644e-05,1.4989993520981971e-05
-0.3415585883439301,0.07565195497833048,2.729026180068259e-05,1.5062209150620165e-05
-0.33671378567238497,0.07974298813016402,2.7207996740400732e-05,1.5134441886477407e-05
-0.3318689830008399,0.08406612218676622,2.7125712184184932e-05,1.5206691740715667e-05
-0.3270241803292948,0.08863457135710026,2.7043408118167643e-05,1.5278958725511335e-05
-0.3221793776577497,0.09346225531655179,2.6961084528464863e-05,1.535124285305524e-05
-0.31733457498620454,0.098563828314173,2.6878741401176115e-05,1.542354413555268e-05
-0.31248977231465946,0.10395470812794798,2.6796378722384398e-05,1.5495862585223453e-05
-0.3076449696431144,0.10965110460428064,2.671399647815625e-05,1.556819821430183e-05
-0.30280016697156925,0.11567004746996623,2.6631594654541574e-05,1.5640551035036667e-05
-0.2979553643000241,0.12202941305034347,2.6549173237573727e-05,1.571292105969136e-05
-0.29311056162847904,0.12874794946544726,2.6466732213269445e-05,1.5785308300543903e-05
-0.28826575895693396,0.1358452998058768,2.6384271567628818e-05,1.5857712769886892e-05
-0.2834209562853888,0.14334202271094681,2.6301791286635277e-05,1.5930134480027562e-05
-0.2785761536138437,0.15125960968257463,2.6219291356255556e-05,1.6002573443287806e-05
-0.2737313509422986,0.15962049836822473,2.613677176243966e-05,1.60750296720042e-05
